game_id,game_date,season,day_of_week,park_id,home_team_id,vis_team_id,attendance,daynight,temp,sky,precip,wind_dir,wind_speed,field_cond,home_runs,vis_runs,total_runs,gametype
BOS199004090,1990-04-09,1990,Monday,BOS07,BOS,DET,35199,day,60,sunny,none,tocf,,dry,5,2,7,regular
CAL199004090,1990-04-09,1990,Monday,ANA01,CAL,SEA,38406,night,60,night,none,unknown,0.0,dry,4,7,11,regular
CHA199004090,1990-04-09,1990,Monday,CHI10,CHA,MIL,40008,day,51,cloudy,drizzle,tolf,10.0,wet,2,1,3,regular
HOU199004090,1990-04-09,1990,Monday,HOU02,HOU,CIN,40957,night,0,dome,none,unknown,,dry,4,8,12,regular
KCA199004090,1990-04-09,1990,Monday,KAN06,KCA,BAL,37671,day,60,overcast,none,fromlf,5.0,dry,6,7,13,regular
LAN199004090,1990-04-09,1990,Monday,LOS03,LAN,SDN,48686,day,78,sunny,none,tocf,0.0,dry,4,2,6,regular
NYN199004090,1990-04-09,1990,Monday,NYC17,NYN,PIT,47919,day,50,sunny,none,rtol,,dry,3,12,15,regular
OAK199004090,1990-04-09,1990,Monday,OAK01,OAK,MIN,48219,night,64,night,none,unknown,10.0,dry,8,3,11,regular
SLN199004090,1990-04-09,1990,Monday,STL09,SLN,MON,48752,night,64,night,drizzle,rtol,9.0,dry,6,5,11,regular
TEX199004090,1990-04-09,1990,Monday,ARL01,TEX,TOR,40907,night,72,night,none,rtol,,dry,4,2,6,regular
BOS199004100,1990-04-10,1990,Tuesday,BOS07,BOS,DET,15352,day,64,overcast,none,tolf,,dry,4,2,6,regular
CAL199004100,1990-04-10,1990,Tuesday,ANA01,CAL,SEA,23508,night,0,night,none,unknown,,dry,7,0,7,regular
CHN199004100,1990-04-10,1990,Tuesday,CHI11,CHN,PHI,7791,day,37,overcast,none,fromlf,30.0,wet,2,1,3,regular
HOU199004100,1990-04-10,1990,Tuesday,HOU02,HOU,CIN,11027,night,0,dome,none,unknown,,dry,2,3,5,regular
MIL199004100,1990-04-10,1990,Tuesday,MIL05,MIL,CHA,50294,day,43,sunny,none,ltor,31.0,dry,3,5,8,regular
OAK199004100,1990-04-10,1990,Tuesday,OAK01,OAK,MIN,19757,night,65,night,none,unknown,5.0,dry,5,3,8,regular
SDN199004100,1990-04-10,1990,Tuesday,SAN01,SDN,LAN,54098,night,70,night,none,tocf,0.0,dry,0,1,1,regular
SLN199004100,1990-04-10,1990,Tuesday,STL09,SLN,MON,22571,night,44,night,none,torf,13.0,wet,4,2,6,regular
TOR199004100,1990-04-10,1990,Tuesday,TOR02,TOR,TEX,49673,night,0,dome,,unknown,,,2,1,3,regular
ATL199004111,1990-04-11,1990,Wednesday,ATL01,ATL,SFN,0,night,50,sunny,none,unknown,,dry,0,8,8,regular
ATL199004112,1990-04-11,1990,Wednesday,ATL01,ATL,SFN,11082,night,55,night,none,unknown,,dry,4,3,7,regular
BOS199004110,1990-04-11,1990,Wednesday,BOS07,BOS,DET,15369,day,58,cloudy,none,ltor,,dry,3,2,5,regular
CAL199004110,1990-04-11,1990,Wednesday,ANA01,CAL,SEA,25632,night,70,night,none,unknown,0.0,dry,1,0,1,regular
HOU199004110,1990-04-11,1990,Wednesday,HOU02,HOU,CIN,11551,night,0,dome,none,unknown,,dry,0,5,5,regular
KCA199004110,1990-04-11,1990,Wednesday,KAN06,KCA,BAL,18892,night,45,night,none,torf,,dry,2,1,3,regular
NYN199004110,1990-04-11,1990,Wednesday,NYC17,NYN,PIT,16880,day,55,cloudy,none,tolf,13.0,wet,3,0,3,regular
OAK199004110,1990-04-11,1990,Wednesday,OAK01,OAK,MIN,27775,day,61,sunny,none,unknown,8.0,dry,0,3,3,regular
SDN199004110,1990-04-11,1990,Wednesday,SAN01,SDN,LAN,29872,night,70,night,none,tocf,0.0,dry,3,1,4,regular
SLN199004110,1990-04-11,1990,Wednesday,STL09,SLN,MON,26174,day,44,cloudy,none,tolf,17.0,dry,4,6,10,regular
TOR199004110,1990-04-11,1990,Wednesday,TOR02,TOR,TEX,35031,night,70,dome,none,unknown,,dry,5,11,16,regular
ATL199004120,1990-04-12,1990,Thursday,ATL01,ATL,SFN,6425,day,59,sunny,none,unknown,,dry,4,13,17,regular
CAL199004120,1990-04-12,1990,Thursday,ANA01,CAL,MIN,24479,night,65,night,none,unknown,,dry,3,1,4,regular
CHN199004121,1990-04-12,1990,Thursday,CHI11,CHN,PHI,0,day,38,sunny,none,ltor,10.0,dry,4,5,9,regular
CHN199004122,1990-04-12,1990,Thursday,CHI11,CHN,PHI,7717,day,42,sunny,none,torf,15.0,dry,6,3,9,regular
